character,wubi,pinyin
茄,alkf,qié jiā
茅,acbt,máo
茉,ags agsu,mò
茎,aca acaf,jìng jīng yīng
茜,asf,qiàn
茧,aju,jiǎn
茨,auqw,cí
茫,aiy,máng huǎng
茬,adhf,chá chí
茵,ald aldu,yīn
茶,aws,chá
茸,abf,róng rǒng
荃,awgf,quán
荆,aga agaj,jīng
草,ajj,cǎo zào
荐,adh adhb,jiàn
荒,aynq,huāng huǎng kāng
荔,all alll,lì
荟,awfc,huì
荠,ayjj,jì qí cí qi qì
荡,ain ainr,dàng tāng tàng
荣,aps apsu,róng
荤,aplj,hūn xūn
荧,apo apou,yíng jiǒng xíng
荪,abiu,sūn
荫,abe abef,yīn yìn
药,ax axq axqy,yào yuè
荷,awsk,hé hē hè kē
荼,awt awtu,tú chá shū yé
莉,atj atjj,lì chí lí
莎,aiit,shā suō
莓,atx atxu,méi
莫,ajdu,mò mù
莱,ago agou,lái
莲,alp alpu,lián liǎn
获,aqt aqtd,huò
莹,apgy,yíng yǐng
莺,apq apqg,yīng
莽,ada adaj,mǎng máng
菁,agef,jīng
菇,avd,gū
菊,aqo aqou,jú
菌,alt altu,jūn jùn
菜,ae aes aesu,cài
菠,aih aihc,bō
菩,auk aukf,pú bèi bó bù
菱,afwt,líng
菲,adj,fēi fěi fèi
萃,ayw,cuì
萄,aqr aqrm,táo
萌,aje ajef,méng míng
萍,aigh,píng
萎,atv atvf,wěi wēi
萝,alq alqu,luó
萤,apj apju,yíng
营,apk apkk,yíng cuō
萦,apx apxi,yíng
萧,avij,xiāo
萨,abu abut,sà
落,ait aitk,là luò lào luō
著,aft,zhù zhuó zhe chú zhāo zháo
葛,ajq ajqn,gé gě
葡,aqg aqgy,pú bèi
董,atg atgf,dǒng zhǒng
葫,adef,hú
葬,agq agqa,zàng
葱,aqrn,cōng
葵,awg,kuí
蒂,aup auph,dì
蒋,auq auqf,jiǎng jiāng
蒙,apg apge,mēng méng měng máng
蒜,afi afii,suàn
蒲,aigy,pú bó
蒸,abio,zhēng
蓄,ayx ayxl,xù
蓉,apw apwk,róng
蓝,ajt ajtl,lán la
蓦,ajdc,mò mà
蓬,atdp,péng pèng
蔑,aldt,miè
蔓,ajl ajlc,màn wàn mán
蔗,aya ayao,zhè
蔚,anf anff,wèi yù
蔡,awf awfi,cài cā sà
蔬,anh anhq,shū shǔ xū
蔺,auw auwy,lìn
蔼,ayj ayjn,ǎi
蔽,aum aumt,bì fù
蕃,ato atol,fán
蕉,awy awyo,jiāo qiāo qiáo
蕊,ann annn,ruǐ juǎn
蕨,adu,jué
蕴,axj axjl,yùn wēn
蕾,aflf,lěi
薄,aig aigf,báo bó bò bù
薇,atm atmt,wēi wéi
薛,awnu,xuē xiē
薪,aus ausr,xīn
薯,alfj,shǔ
薰,atgo,xūn
藉,adi adij,jiè jí
藏,adnt,cáng zàng zāng
藐,aee aeeq,miǎo mò
藕,adiy,ǒu
藤,aeu aeui,téng
藩,aitl,fān fán
藻,aik aiks,zǎo
蘑,ays,mó
虎,ha ham hamv,hǔ hù
虏,halv,lǔ
虐,haa haag,nüè nè
虑,han hani,lǜ lǘ
虔,hay hayi,qián
虚,hao haog,xū
虞,hak hakd,yú
虫,jhny,chóng
虹,ja jag,hóng gòng hòng jiàng
虽,kj kju,suī
虾,jghy,xiā hā há jiǎ
蚀,qnj qnjy,shí lì lóng
蚁,jyq jyqy,yǐ jǐ
蚂,jcg,mǎ mā mà
蚊,jyy,wén
蚌,jdh jdhh,bàng bèng fēng pí
蚓,jxh jxhh,yǐn
蚕,gdj gdju,cán
蚣,jwc jwcy,gōng zhōng
蚤,cyj cyju,zǎo zhǎo
蚩,bhgj,chī
蚪,jufh,dǒu
蚯,jrgg,qiū
蛀,jyg jygg,zhù
蛇,jpx jpxn,shé yí chí tuó
蛊,jlf,gǔ
蛋,nhj nhju,dàn
蛙,jff jffg,wā jué
蛛,jri jriy,zhū
蛤,jw jwg jwgk,gé há è hā
蛮,yoj yoju,mán
蛾,jtr jtrt,é yǐ
蜀,lqj lqju,shǔ
蜂,jtd jtdh,fēng
蜈,jkg jkgd,wú
蜒,jthp,yán dàn yàn
蜓,jtfp,tíng diàn
蜕,juk jukq,tuì shuì yuè
蜗,jkm jkmw,wō guā guǒ luó
蜘,jtdk,zhī
蜜,pntj,mì
蜡,jaj jajg,là
蜥,jsrh,xī
蜴,jjqr,yì
蜷,judb,quán juǎn
蜻,jgeg,qīng jīng
蜿,jpq jpqb,wān wǎn
蝇,jk jkj jkjn,yíng
蝉,jujf,chán shàn
蝌,jtu jtuf,kē
蝎,jjq jjqn,xiē hé
蝗,jr jrg,huáng
蝙,jyna,biān pián
蝠,jgkl,fú
蝴,jde jdeg,hú
蝶,jan jans,dié tiē
螂,jyv jyvb,láng
螃,jup jupy,páng bǎng
融,gkm gkmj,róng
螺,jlx jlxi,luó
蟀,jyx jyxf,shuài
蟆,jajd,má mò
蟋,jto jton,xī
蟑,jujh,zhāng
蟹,qevj,xiè
蠕,jfdj,rú ruǎn
蠢,dwjj,chǔn
血,tld,xiě xuè
衅,tlu tluf,xìn
行,tf,háng xíng hàng héng xìng
衍,tif tifh,yǎn yán
衔,tqf tqfh,xián
街,tffh,jiē
衙,tgk,yá yú yǔ yù
衡,tqdh,héng
衣,ye,yī yì
补,puh puhy,bǔ
表,ge geu,biǎo
衫,pue,shān
衬,puf pufy,chèn
衮,uceu,gǔn
衰,ykge,shuāi cuī suō
衷,ykhe,zhōng zhòng
袁,fke fkeu,yuán
袄,put putd,ǎo
袅,qyne,niǎo
袋,waye,dài
袍,puq puqn,páo bào
袒,pujg,tǎn zhàn
袖,pum pumg,xiù
袜,pug pugs,wà
被,puhc,bèi pī bì pì
袭,dxy dxye,xí
袱,puwd,fú
裁,fay faye,cái
裂,gqje,liè liě
装,ufy ufye,zhuāng
裔,yem yemk,yì
裕,puw,yù
裘,fiye,qiú
裙,puvk,qún
裤,puy puyl,kù
裳,ipke,cháng shang sháng
裸,pujs,luǒ
裹,yjse,guǒ
褂,pufh,guà
褐,pujn,hè hé
褒,ywk ywke,bāo
褥,pudf,rù nù
褪,puvp,tuì tùn
襄,ykk ykke,xiāng
襟,pus pusi,jīn
西,sghg,xī
要,s sv svf,yào yāo yǎo
覃,sjj,tán qín yǎn
覆,stt sttt,fù
见,mqb,jiàn xiàn
观,cm cmq cmqn,guān guàn
规,fwm fwmq,guī guì kuī xù
觅,emq emqb,mì
视,pym pymq,shì
览,jtyq,lǎn làn
觉,ipmq,jué jiào
觑,haoq,qù qū
角,qe qej,jiǎo jué gǔ lù
觜,hxq hxqe,zī zuǐ
解,qev qevh,jiě jiè xiè
触,qejy,chù
言,yyy yyyy,yán yàn yín
詈,lyf,lì
詹,qdw qdwy,zhān dàn shàn
誉,iwyf,yù
誊,udyf,téng
誓,rryf,shì
警,aqky,jǐng
譬,nkuy,pì
计,yf,jì
订,ys ysh,dìng
认,yw ywy,rèn
讥,ymn,jī
讨,yfy,tǎo
让,yh yhg,ràng
讪,ymh,shàn
训,yk ykh,xùn
议,yyq yyqy,yì
讯,ynf,xùn
记,yn ynn,jì
讲,yfj yfjh,jiǎng
讳,yfnh,huì
讶,yah yaht,yà
许,ytf ytfh,xū hǔ xǔ
讹,ywxn,é
论,ywx,lùn lún
讼,ywc ywcy,sòng róng
讽,ymq ymqy,fěng fēng fèng
设,ymc ymcy,shè
访,yyn,fǎng
诀,ynwy,jué
证,ygh yghg,zhèng
评,ygu yguh,píng
诅,yeg yegg,zǔ
识,ykw,shí shi shì zhì
诈,yth ythf,zhà
诉,yr yry yryy,sù
诊,ywe,zhěn
词,yngk,cí
诏,yvk yvkg,zhào zhāo
译,ycf ycfh,yì
试,yaa yaag,shì
诗,yff yffy,shī
诚,ydn ydnt,chéng
话,ytd,huà
诞,ythp,dàn
诠,ywg ywgg,quán
诡,yqd yqdb,guǐ
询,yqj yqjg,xún
该,yynw,gāi
详,yud yudh,xiáng yáng
诧,ypta,chà dù
诫,yaah,jiè
诬,yaw,wū wú
语,ygk ygkg,yǔ yù
误,ykg ykgd,wù
诱,yte yten,yòu
诲,ytx ytxu,huì
说,yu yuk yukq,shuō shuì yuè tuō
诵,yceh,sòng
请,yge ygeg,qǐng qīng qíng qìng
诸,yft yftj,zhū chú
诺,yad yadk,nuò
读,yfn yfnd,dú dòu
诽,ydj ydjd,fěi
课,yjs yjsy,kè
谁,ywyg,shuí shéi
调,ymf ymfk,diào tiáo tiào zhōu
谅,yyi yyiy,liàng liáng
谆,yybg,zhūn zhùn
谈,yoo yooy,tán
谊,ype ypeg,yì yí
谋,yaf yafs,móu
谍,yan yans,dié xiè
谎,yay yayq,huǎng
谏,ygl ygli,jiàn
谐,yxxr,xié
谓,yle yleg,wèi
谕,ywgj,yù tǒu
谚,yut yute,yàn
谛,yuph,dì tí
谜,yopy,mí mèi mì
谢,ytm ytmf,xiè
谣,yer yerm,yáo
谤,yup yupy,bàng
谦,yuv yuvo,qiān qiàn zhàn
谨,yak yakg,jǐn
谬,ynwe,miù
谭,ysj ysjh,tán
谱,yuo yuoj,pǔ
谴,ykhp,qiǎn
谷,wwk wwkf,gǔ gòu nòu
豁,pdhk,huō huò huá
豆,gku gkuf,dòu
豌,gkub,wān
豕,egt egty,shǐ
豚,eey,tún dūn
象,qje qjeu,xiàng
豪,ypeu,háo
豫,cbq cbqe,yù xù
豹,eeqy,bào
豺,eef eeft,chái
貌,eerq,mào
贝,mhny,bèi
贞,hm hmu,zhēn
负,qm qmu,fù
贡,am amu,gòng
财,mf mft mftt,cái
责,gmu,zé zhài
贤,jcm jcmu,xián
败,mty,bài
账,mta mtay,zhàng
货,wxm wxmu,huò
质,rfm rfmi,zhì zhí
贩,mr mrc mrcy,fàn
贪,wynm,tān
贫,wvm wvmu,pín
贬,mtp mtpy,biǎn
购,mqc mqcy,gòu
贮,mpg mpgg,zhù zhǔ
贯,xfm xfmu,guàn wān
贰,afm afmi,èr
贱,mgt,jiàn
贲,fam famu,bì bēn féi fén fèn
贴,mhk mhkg,tiē
贵,khgm,guì
贷,wam wamu,dài tè
贸,qyv,mào
费,xjm xjmu,fèi bì
贺,lkm lkmu,hè
贻,mck mckg,yí
贼,madt,zéi zé
贾,smu,jiǎ gǔ jià
贿,mde mdeg,huì
赁,wtfm,lìn rèn
赂,mtk mtkg,lù
赃,myf myfg,zāng
资,uqwm,zī zì
赋,mga,fù
赌,mftj,dǔ
赎,mfn mfnd,shú shù
赏,ipkm,shǎng
赐,mjq mjqr,cì sì
赔,muk mukg,péi
赖,gkim,lài
赘,gqtm,zhuì
赚,muv muvo,zhuàn zuàn
赛,pfjm,sài
赞,tfqm,zàn
赠,mu mul mulj,zèng
赡,mqd mqdy,shàn dàn
赢,ynky,yíng
赣,ujt ujtm,gàn gòng zhuàng
赤,fo fou,chì
赦,fot,shè cè
赫,fof fofo,hè shì xì
走,fhu,zǒu
赴,fhh,fù
赵,fhq,zhào diào tiǎo
赶,fhfk,gǎn
起,fhn fhnv,qǐ
趁,fhwe,chèn chén zhēn
超,fhv fhvk,chāo chǎo chào tiào
越,fha fhat,yuè huó
趋,fhqv,qū cù cǒu qù
趟,fhi fhik,tàng tāng chēng zhēng zhèng
趣,fhb fhbc,qù cù cǒu qū zōu
足,khu,zú jù
趴,khw,pā
趾,khh khhg,zhǐ
跃,khtd,yuè tì
跄,khwb,qiāng qiàng
跋,khdc,bá bèi
跌,khr,diē dié tú
跑,khq khqn,pǎo páo bó
跛,khhc,bǒ bì pō
距,kha,jù
跟,khv khve,gēn
跤,khuq,jiāo qiāo
跨,khd khdn,kuà kù kuā kuǎ
跪,khqb,guì
路,kht,lù luò
跳,khi khiq,tiào táo diào tiáo
践,khg khgt,jiàn
跷,khaq,qiāo qiào
跺,khm khms,duò
跻,khyj,jī
踉,khye,liáng liàng láng làng
踊,khc khce,yǒng
踌,khdf,chóu
踏,khij,tà tā
踞,khnd,jù
踢,khj khjr,tī dié
踩,khes,cǎi kuí
踪,khp khpi,zōng
踱,khyc,duó chuò duò
踹,khmj,chuài duàn shuàn
蹂,khcs,róu
蹄,khuh,tí dì
蹈,khev,dǎo dào
蹋,khjn,tà
蹦,khme,bèng
蹬,khwu,dēng dèng
蹭,khuj,cèng céng
蹲,khuf,dūn cuán cún cǔn dún zūn
蹿,khph,cuān
躁,khks,zào
躇,khaj,chú chuò
躏,khay,lìn
身,tmd tmdt,shēn juān yuán
躬,tmdx,gōng
躯,tmdq,qū
躲,tmds,duǒ
躺,tmdk,tǎng
车,lg lgn,chē jū
轧,lnn,yà zhá gá
轨,lv lvn,guǐ
轩,lf lfh,xuān hǎn jiān xiǎn xiàn
转,lfn lfny,zhuǎn zhuàn
轮,lwx lwxn,lún
软,lqw lqwy,ruǎn
轰,lcc lccu,hōng
轳,lhnt,lú
轴,lm lmg,zhóu zhòu zhú
轻,lc lca,qīng qìng
载,fa fal falk,zài dài zāi zǎi zī
轿,ltd ltdj,jiào
较,lu luq luqy,jiào jué xiào
辄,lbn lbnn,zhé
辅,lgey,fǔ
辆,lgm,liàng
辇,fwfl,niǎn
辈,djdl,bèi
辉,iqpl,huī
辐,lgk lgkl,fú
辑,lkb lkbg,jí
输,lwg,shū shù
辖,lpdk,xiá hé
辗,lna,zhǎn niǎn
辘,lyn lynx,lù
辙,lyc lyct,zhé chè
辛,uygh,xīn
辜,duj,gū
辞,tduh,cí
辟,nku nkuh,bì pì mǐ pī
辣,ugk,là
辨,uyt uytu,biàn bān bàn biǎn piàn
辩,uyu uyuh,biàn bàn biǎn pián
辫,uxu uxuh,biàn
辰,dfe dfei,chén
辱,dfef,rǔ rù
边,lp lpv,biān
辽,bp bpk,liáo
达,dp dpi,dá tà tì
迁,tfp tfpk,qiān
迂,gfp,yū yù
迄,tnp tnpv,qì
迅,nfp nfpk,xùn
过,fp fpi,guò guo guō huò
迈,dnp dnpv,mài
迎,qbp qbpk,yíng yìng
运,fcp fcpi,yùn
近,rp rpk,jìn jì
返,rcp rcpi,fǎn
还,gip gipi,huán hái xuán
这,p yp ypi,zhè yàn zhèi
进,fj fjp fjpk,jìn
远,fqp,yuǎn yuàn
违,fnhp,wéi huí
连,lpk,lián làn liǎn liàn
迟,nyp nypi,chí xī zhí zhì
迢,vkp vkpd,tiáo
迦,lkp lkpd,jiā xiè
迩,qip qipi,ěr
迪,mp mpd,dí
迫,rpd,pò pǎi
迭,rwp rwpi,dié
述,syp sypi,shù
迷,op opi,mí mèi mì
迸,uap uapk,bèng bǐng pēng
迹,yop yopi,jì jī
追,wnnp,zhuī duī tuī
退,vep vepi,tuì
送,udp,sòng
适,tdp tdpd,shì dí tì zhé
逃,iqp iqpv,táo
逆,ubt ubtp,nì
选,tfqp,xuǎn suàn xuàn
逊,bip bipi,xùn
逍,iep iepd,xiāo
透,tep tepv,tòu shū
逐,epi,zhú dí tún zhòu
递,uxhp,dì dài
途,wtp wtpi,tú
逗,gkup,dòu qí tóu zhù
通,cep cepk,tōng tòng
逛,qtgp,guàng kuáng
逝,rrp,shì
逞,kgp kgpd,chěng yíng
速,gkip,sù
造,tfkp,zào cāo cào
逢,tdh tdhp,féng páng péng
逮,vip,dài dǎi dì
逸,qkqp,yì
逻,lqp lqpi,luó luò
逼,gklp,bī
逾,wgep,yú dòu
遁,rfhp,dùn qūn xún
遂,uep uepi,suì suí
遇,jm jmhp,yù
遍,ynm,biàn
遏,jqwp,è
遐,nhf nhfp,xiá
道,uthp,dào dǎo
遗,khgp,yí suí wèi
遣,khgp,qiǎn qiàn
遥,er erm ermp,yáo
遨,gqtp,áo
遭,gmap,zāo
遮,yaop,zhē
遴,oqa oqap,lín
遵,usgp,zūn
避,nk nkup,bì
邀,rytp,yāo
邑,kcb,yì è
邓,cb cbh,dèng
那,vfb vfbh,nà nǎ nèi nā né něi nuó nuò
邦,dtb,bāng
邪,ahtb,xié yá yé yú xú shé
邮,mb mbh,yóu chuí
邱,rgb rgbh,qiū
邵,vkb vkbh,shào
邻,wycb,lín lìn
郁,deb debh,yù
郊,uqb uqbh,jiāo
郎,yvcb,láng làng
郑,udb,zhèng
郝,fob fobh,hǎo
郡,vtkb,jùn
部,uk ukb ukbh,bù pǒu
郭,ybb ybbh,guō guó
都,ftjb,dū dōu
鄂,kkfb,è
鄙,kfl kflb,bǐ
酉,sgd,yǒu
酋,usgf,qiú
酌,sgq sgqy,zhuó
配,sgn,pèi
酒,isgg,jiǔ
酗,sgqb,xù
酝,sgf sgfc,yùn
酣,sgaf,hān hàn
酥,sgty,sū
酪,sgtk,lào lù
酬,sgyh,chóu
酱,uqsg,jiàng
酵,sgfb,jiào xiào
酶,sgtu,méi
酷,sgtk,kù
酸,sgc sgct,suān
酿,sgye,niàng niáng
醇,sgyb,chún
醉,sgy sgyf,zuì
醋,sga sgaj,cù
醒,sgj,xǐng chéng jīng xīng
采,es esu,cǎi cài
释,toc toch,shì yì
里,jfd,lǐ
重,tgj tgjf,zhòng chóng tóng
野,jfc jfcb,yě
量,jg jgj jgjf,liáng liàng
金,qqqq,jīn jìn
鉴,jtyq,jiàn
针,qf qfh,zhēn
钉,qs qsh,dīng dìng líng
钓,qqyy,diào
钙,qgh,gài
钝,qgbn,dùn
钞,qit qitt,chāo chǎo miǎo
钟,qkhh,zhōng
钠,qmw qmwy,nà ruì
钢,qmq qmqy,gāng gàng
钥,qeg,yuè yào
钦,qqw qqwy,qīn qìn yín
钧,qqug,jūn
钩,qqcy,gōu gòu qú
钮,qnf,niǔ chǒu
钱,qg qgt,qián jiǎn
钳,qaf qafg,qián ān
钵,qsg qsgg,bō
钻,qhk qhkg,zuān zuàn
钾,qlh,jiǎ gé hé
铁,qr qrw,tiě dié
铃,qwyc,líng
铅,qmk qmkg,qiān yán
铐,qftn,kào
铛,qiv qivg,dāng chēng tāng
铜,qmgk,tóng
铝,qkk,lǚ
铭,qqk qqkg,míng
铲,qut qutt,chǎn
银,qve qvey,yín
铸,qdt,zhù
铺,qge,pū pù
链,qlp qlpy,liàn lián
销,qie qieg,xiāo
锁,qim,suǒ
锄,qegl,chú jǔ
锅,qkm qkmw,guō guǒ
锈,qten,xiù
锋,qtd qtdh,fēng
锌,quh,xīn zǐ
锐,quk qukq,ruì duì yuè
错,qaj qajg,cuò cù xī
锚,qal qalg,máo
锡,qjq qjqr,xī tì xí
锣,qlq qlqy,luó
锤,qtgf,chuí
锥,qwy qwyg,zhuī
锦,qrm qrmh,jǐn
键,qvfp,jiàn
锯,qnd qndg,jù jū
锰,qbl qblg,měng
锹,qto qtoy,qiāo
锻,qwd qwdc,duàn
镀,qya,dù
镇,qfhw,zhèn tián zhēn
镐,qym qymk,gǎo hào
镑,qup qupy,bàng pāng
镖,qsf qsfi,biāo
镜,quj qujq,jìng
镰,qyuo,lián
镶,qyk qyke,xiāng ráng
长,ta tay tayi,cháng zhǎng zhàng
门,uyh uyhn,mén
闩,ugd,shuān
闪,uw uwi,shǎn
闫,udd,yán
闭,uft,bì
问,ukd,wèn
闯,ucd,chuǎng chèn
闰,ug ugd,rùn
闲,usi,xián
间,uj ujd,jiān jiàn jiǎn
闵,uyi,mǐn mín
闷,uni,mèn mēn
闸,ulk,zhá gé yā
闹,uym uymh,nào
闺,uffd,guī
闻,ub ubd,wén wèn
闽,uji,mǐn
阀,uwa uwae,fá
阁,utk utkd,gé
阅,uuk uukq,yuè
阎,uqvd,yán yǎn yàn
阐,uuj uujf,chǎn
阑,ugli,lán làn
阔,uit uitd,kuò
阜,wnnf,fù
队,bw bwy,duì zhuì suì
阪,brcy,bǎn
阮,bfq bfqn,ruǎn
阱,bfj bfjh,jǐng
防,by byn,fáng
阳,bj bjg,yáng
阴,be beg,yīn ān yìn
阵,bl blh,zhèn
阶,bwj bwjh,jiē
阻,begg,zǔ zhù
阿,bs bsk bskg,ā ē a ǎ à ě
陀,bpx bpxn,tuó
附,bwf bwfy,fù bù fū pǒu
际,bf bfi bfiy,jì
陆,bfm bfmh,lù liù
陈,ba bai baiy,chén zhèn
陋,bgm bgmn,lòu
陌,bdj bdjg,mò
降,bt bta btah,jiàng xiáng xiàng
限,bv bve bvey,xiàn wěn
陕,bgu bguw,xiá shǎn
陛,bx bxx bxxf,bì
陡,bfh bfhy,dǒu
院,bpf bpfq,yuàn
除,bwt bwty,chú shū zhù
陨,bkm bkmy,yǔn yuán
险,bwg bwgi,xiǎn jiǎn yán
陪,buk bukg,péi
陵,bfw bfwt,líng
陶,bqr bqrm,táo dào yáo
陷,bqv bqvg,xiàn
隅,bjm bjmy,yú
隆,btg btgg,lóng lōng
隋,bda bdae,suí duò tuō tuǒ
隍,brg brgg,huáng
随,bde,suí
隐,bq bqvn,yǐn yìn
隔,bgk bgkh,gé jī rǒng
隘,buw buwl,ài è
隙,bij biji,xì
障,buj bujh,zhàng zhāng
隧,bue buep,suì zhuì
隶,vii,lì
隹,wyg,zhuī cuī wéi
隼,wyfj,sǔn
难,cw cwy,nán nàn nuó
雀,iwyf,què qiāo qiǎo
雁,dww dwwy,yàn
雄,dcw dcwy,xióng
雅,ahty,yǎ yā yá
集,wys,jí
雇,ynwy,gù
雌,hxw hxwy,cí cī
雍,yxt yxty,yōng
雏,qvw qvwy,chú jú jù
雕,mfky,diāo
雨,fghy,yǔ yù
雪,fv fvf,xuě
雳,fdlb,lì
零,fwyc,líng lián
雷,flf,léi lèi
雹,fqn fqnb,báo bó
雾,ftl ftlb,wù méng
需,fdm,xū nuò rú ruǎn
霄,fie fief,xiāo xiào
震,fdf fdfe,zhèn shēn
霉,ftxu,méi
霍,fwyf,huò hè suǒ
霎,fuv fuvf,shà
霖,fss fssu,lín
霜,fs fsh fshf,shuāng
霞,fnhc,xiá
露,fkhk,lòu lù
霸,faf fafe,bà pò
霹,fnk fnku,pī
青,gef,qīng jīng
靓,gem gemq,jìng liàng
靖,uge ugeg,jìng jīng
静,geq geqh,jìng
非,djd,fēi fěi
靠,tfkd,kào
靡,yssd,mí má méi mǐ mó
面,dm dmjd,miàn
革,af afj,gé jí jǐ
靴,afwx,xuē
靶,afc afcn,bǎ bà
鞋,afff,xié wā
鞍,afp afpv,ān
鞠,afq afqo,jū jú qiōng qū
鞭,afwq,biān
韦,fnh fnhk,wéi huí
韧,fnhy,rèn
韩,fjfh,hán
韭,djdg,jiǔ
音,ujf,yīn yìn
韵,ujqu,yùn
页,dmu,yè xié
顶,sdm sdmy,dǐng
顷,xd xdm xdmy,qǐng kuǐ qīng
项,adm admy,xiàng
顺,kd kdm kdmy,shùn
须,edm edmy,xū
顽,fqd fqdm,wán kūn
顾,db dbd dbdm,gù
顿,gbnm,dùn dú zhūn
颁,wvd,bān fén
颂,wcd,sòng róng
预,cbd cbdm,yù
颅,hndm,lú
领,wycm,lǐng
颇,hcd hcdm,pō pí pǒ pò
颈,cad cadm,jǐng gěng
颉,fkd,jié
颊,guwm,jiá
颐,ahkm,yí
频,hid hidm,bīn pín
颓,tmdm,tuí
颖,xtd xtdm,yǐng
颗,jsd jsdm,kē kě kuǎn
题,jghm,tí dì
颜,utem,yán yá
额,ptkm,é
颠,fhwm,diān tián
颤,ylkm,chàn shān zhàn
风,mq,fēng fěng fèng
飓,mqh mqhw,jù
飘,sfiq,piāo
飙,dddq,biāo
飞,nui,fēi
食,wyv wyve,shí sì yì
餐,hq hqc hqce,cān sùn
饥,qnm qnmn,jī
饪,qntf,rèn
饭,qnr qnrc,fàn
饮,qnq qnqw,yǐn yìn
饰,qnth,shì chì
饱,qnqn,bǎo
饲,qnnk,sì
饵,qnbg,ěr
饶,qna qnaq,ráo
饺,qnuq,jiǎo jiào
饼,qnu qnua,bǐng
饽,qnfb,bō bó
饿,qnt,è
馁,qne qnev,něi
馅,qnqv,xiàn kàn
馆,qnp qnpn,guǎn
馈,qnk qnkm,kuì tuí
馋,qnqu,chán
馍,qnad,mó
馏,qnql,liù liú
馒,qnjc,mán
首,uth uthf,shǒu
香,tjf,xiāng
馨,fnm fnmj,xīn xīng
马,cn cnn cnng,mǎ
驮,cdy,tuó duò dài
驯,ckh,xùn xún
驰,cbn,chí
驱,caq caqy,qū
驳,cqq cqqy,bó
驴,cyn cynt,lǘ
驶,ckq ckqy,shǐ
驹,cqk cqkg,jū jù
驻,cy cyg cygg,zhù
驼,cp cpx cpxn,tuó
驾,lkc lkcf,jià jiā
驿,ccf ccfh,yì
骂,kkc kkcf,mà
骄,ctdj,jiāo jū qiáo xiāo
骆,ctk ctkg,luò jià
骇,cynw,hài
骋,cmg cmgn,chěng
验,cwg cwgi,yàn
骏,ccw ccwt,jùn
骑,cds cdsk,qí jì
骗,cyna,piàn
骚,ccyj,sāo sǎo xiāo
骡,clx clxi,luó
骤,cbc cbci,zhòu zòu
骨,me,gǔ gū gú
骸,mey meyw,hái gāi
骼,met metk,gé
髓,med medp,suǐ
高,ym ymk ymkf,gāo gào
髟,det,biāo piào shān
髦,detn,máo lí
鬓,depw,bìn
鬯,qob qobx,chàng
鬲,gkmh,gé lì è
鬼,rqc rqci,guǐ
魁,rqcf,kuí kuài kuǐ
魂,fcr fcrc,hún
魄,rrqc,pò bó tuò
魅,rqci,mèi
魏,tvr tvrc,wèi wēi wéi
魔,yssc,mó
鱼,qgf,yú
鲁,qgj,lǔ lǚ
鲇,qghk,nián
鲈,qghn,lú
鲍,qgq qgqn,bào bāo pāo
鲜,qgu qgud,xiān xiǎn xiàn
鲤,qgjf,lǐ
鲨,iitg,shā
鲫,qgvb,jì zéi
鲲,qgjx,kūn
鲸,qgy qgyi,jīng qíng
鳄,qgkn,è
鳌,gqtg,áo
鳍,qgfj,qí
鳖,umig,biē
鳞,qgo qgoh,lín
鸟,qyng,niǎo diǎo dǎo què
鸡,cqy cqyg,jī
鸣,kqy kqyg,míng
鸥,aqqg,ōu
鸦,ahtg,yā yǎ
鸭,lqy lqyg,yā
鸯,mdq mdqg,yāng
鸳,qbq qbqg,yuān
鸵,qynx,tuó
鸽,wgkg,gē
鸿,iaqg,hóng hòng
鹃,keq keqg,jiān juān
鹅,trng,é
鹉,gahg,wǔ
鹊,ajqg,què
鹏,eeq eeqg,péng fèng
鹞,ermg,yào yáo
鹤,pwy pwyg,hè
鹦,mmvg,yīng
鹭,khtg,lù
鹰,ywwg,yīng
鹿,ynj ynjx,lù
麓,ssyx,lù
麟,ynjh,lín
麦,gtu,mài
麻,yss,má mā
黄,amw,huáng
黍,twi twiu,shǔ
黎,tqt,lí
黏,twik,nián niān zhān
黑,lfo lfou,hēi hè
黔,lfon,qián
默,lfod,mò
黛,wal walo,dài
黝,lfol,yǒu yī
黯,lfoj,àn ān
黾,kjn kjnb,mǐn miǎn měng méng
鼋,fqkn,yuán
鼎,hnd hndn,dǐng zhēn
鼓,fkuc,gǔ
鼠,vnu vnun,shǔ
鼻,thl thlj,bí
齐,yjj,qí zhāi jī jì jiǎn zī
齿,hwb hwbj,chǐ
龄,hwbc,líng
龙,dx dxv,lóng lǒng máng
龟,qjn qjnb,guī jūn qiū
龠,wgka,yuè
